sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"Connect","28",,"ActiveEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-11-08 23:59:59 +0100,2020-11-08 23:59:59 +0100,612
"Connect","28",,"ActiveEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-11-07 23:59:59 +0100,2020-11-07 23:59:59 +0100,349
"Connect","28",,"ActiveEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-11-06 23:59:59 +0100,2020-11-06 23:59:59 +0100,250
"Connect","28",,"ActiveEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-11-05 23:59:59 +0100,2020-11-05 23:59:59 +0100,157
"Connect","28",,"ActiveEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-11-04 23:59:59 +0100,2020-11-04 23:59:59 +0100,192
"Connect","28",,"ActiveEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-11-03 23:59:59 +0100,2020-11-03 23:59:59 +0100,248
"Connect","28",,"ActiveEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-11-02 23:59:59 +0100,2020-11-02 23:59:59 +0100,189
"Connect","28",,"ActiveEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-11-01 23:59:59 +0100,2020-11-01 23:59:59 +0100,602
"Connect","28",,"ActiveEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-10-31 23:59:59 +0100,2020-10-31 23:59:59 +0100,430
"Connect","28",,"ActiveEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-10-30 23:59:59 +0100,2020-10-30 23:59:59 +0100,25
"Connect","28",,"ActiveEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-10-29 23:59:59 +0100,2020-10-29 23:59:59 +0100,299
"Connect","28",,"ActiveEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-10-28 23:59:59 +0100,2020-10-28 23:59:59 +0100,49
"Connect","28",,"ActiveEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-10-27 23:59:59 +0100,2020-10-27 23:59:59 +0100,153
"Connect","28",,"ActiveEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-10-26 23:59:59 +0100,2020-10-26 23:59:59 +0100,865
"Connect","28",,"ActiveEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-10-25 23:59:59 +0100,2020-10-25 23:59:59 +0100,177
"Connect","28",,"ActiveEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-10-24 21:59:59 +0100,2020-10-24 21:59:59 +0100,1442
"Connect","5",,"ActiveEnergyBurned","kcal",2020-11-28 22:35:46 +0100,2020-11-10 23:59:59 +0100,2020-11-10 23:59:59 +0100,770
"Connect","5",,"ActiveEnergyBurned","kcal",2020-11-28 22:35:46 +0100,2020-11-09 23:59:59 +0100,2020-11-09 23:59:59 +0100,168
"Connect","5",,"ActiveEnergyBurned","kcal",2020-12-11 09:24:15 +0100,2020-11-13 23:59:59 +0100,2020-11-13 23:59:59 +0100,449
"Connect","5",,"ActiveEnergyBurned","kcal",2020-12-11 09:24:15 +0100,2020-11-12 23:59:59 +0100,2020-11-12 23:59:59 +0100,303
"Connect","5",,"ActiveEnergyBurned","kcal",2020-12-11 09:24:15 +0100,2020-11-11 23:59:59 +0100,2020-11-11 23:59:59 +0100,80
"Connect","5",,"ActiveEnergyBurned","kcal",2020-12-14 11:38:27 +0100,2020-11-16 23:59:59 +0100,2020-11-16 23:59:59 +0100,188
"Connect","5",,"ActiveEnergyBurned","kcal",2020-12-14 11:38:27 +0100,2020-11-15 23:59:59 +0100,2020-11-15 23:59:59 +0100,0
"Connect","5",,"ActiveEnergyBurned","kcal",2020-12-14 11:38:27 +0100,2020-11-14 23:59:59 +0100,2020-11-14 23:59:59 +0100,615
"Connect","5",,"ActiveEnergyBurned","kcal",2020-12-17 09:05:13 +0100,2020-11-22 23:59:59 +0100,2020-11-22 23:59:59 +0100,168
"Connect","5",,"ActiveEnergyBurned","kcal",2020-12-17 09:05:13 +0100,2020-11-21 23:59:59 +0100,2020-11-21 23:59:59 +0100,191
"Connect","5",,"ActiveEnergyBurned","kcal",2020-12-17 09:05:13 +0100,2020-11-20 23:59:59 +0100,2020-11-20 23:59:59 +0100,886
"Connect","5",,"ActiveEnergyBurned","kcal",2020-12-17 09:05:13 +0100,2020-11-19 23:59:59 +0100,2020-11-19 23:59:59 +0100,370
"Connect","5",,"ActiveEnergyBurned","kcal",2020-12-17 09:05:13 +0100,2020-11-18 23:59:59 +0100,2020-11-18 23:59:59 +0100,344
"Connect","5",,"ActiveEnergyBurned","kcal",2020-12-17 09:05:13 +0100,2020-11-17 23:59:59 +0100,2020-11-17 23:59:59 +0100,622
"Connect","5",,"ActiveEnergyBurned","kcal",2020-12-23 19:53:12 +0100,2020-11-28 23:59:59 +0100,2020-11-28 23:59:59 +0100,17
"Connect","5",,"ActiveEnergyBurned","kcal",2020-12-23 19:53:12 +0100,2020-11-27 23:59:59 +0100,2020-11-27 23:59:59 +0100,331
"Connect","5",,"ActiveEnergyBurned","kcal",2020-12-23 19:53:12 +0100,2020-11-26 23:59:59 +0100,2020-11-26 23:59:59 +0100,540
"Connect","5",,"ActiveEnergyBurned","kcal",2020-12-23 19:53:12 +0100,2020-11-25 23:59:59 +0100,2020-11-25 23:59:59 +0100,748
"Connect","5",,"ActiveEnergyBurned","kcal",2020-12-23 19:53:13 +0100,2020-11-24 23:59:59 +0100,2020-11-24 23:59:59 +0100,190
"Connect","5",,"ActiveEnergyBurned","kcal",2020-12-23 19:53:13 +0100,2020-11-23 23:59:59 +0100,2020-11-23 23:59:59 +0100,443
"Connect","5",,"ActiveEnergyBurned","kcal",2020-12-29 17:45:47 +0100,2020-12-03 23:59:59 +0100,2020-12-03 23:59:59 +0100,244
"Connect","5",,"ActiveEnergyBurned","kcal",2020-12-29 17:45:47 +0100,2020-12-02 23:59:59 +0100,2020-12-02 23:59:59 +0100,90
"Connect","5",,"ActiveEnergyBurned","kcal",2020-12-29 17:45:47 +0100,2020-12-01 23:59:59 +0100,2020-12-01 23:59:59 +0100,625
"Connect","5",,"ActiveEnergyBurned","kcal",2020-12-29 17:45:47 +0100,2020-11-30 23:59:59 +0100,2020-11-30 23:59:59 +0100,504
"Connect","5",,"ActiveEnergyBurned","kcal",2020-12-29 17:45:47 +0100,2020-11-29 23:59:59 +0100,2020-11-29 23:59:59 +0100,1108
"Connect","5",,"ActiveEnergyBurned","kcal",2021-01-03 00:38:19 +0100,2020-12-08 23:59:59 +0100,2020-12-08 23:59:59 +0100,508
"Connect","5",,"ActiveEnergyBurned","kcal",2021-01-03 00:38:19 +0100,2020-12-07 23:59:59 +0100,2020-12-07 23:59:59 +0100,465
"Connect","5",,"ActiveEnergyBurned","kcal",2021-01-03 00:38:19 +0100,2020-12-06 23:59:59 +0100,2020-12-06 23:59:59 +0100,115
"Connect","5",,"ActiveEnergyBurned","kcal",2021-01-03 00:38:19 +0100,2020-12-05 23:59:59 +0100,2020-12-05 23:59:59 +0100,132
"Connect","5",,"ActiveEnergyBurned","kcal",2021-01-03 00:38:19 +0100,2020-12-04 23:59:59 +0100,2020-12-04 23:59:59 +0100,645
"Connect","31",,"ActiveEnergyBurned","kcal",2021-01-08 14:16:14 +0100,2020-12-12 23:59:59 +0100,2020-12-12 23:59:59 +0100,418
"Connect","31",,"ActiveEnergyBurned","kcal",2021-01-08 14:16:14 +0100,2020-12-11 23:59:59 +0100,2020-12-11 23:59:59 +0100,104
