sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"Connect","28",,"BasalEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-11-08 23:59:59 +0100,2020-11-08 23:59:59 +0100,1936
"Connect","28",,"BasalEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-11-07 23:59:59 +0100,2020-11-07 23:59:59 +0100,2452
"Connect","28",,"BasalEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-11-06 23:59:59 +0100,2020-11-06 23:59:59 +0100,2452
"Connect","28",,"BasalEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-11-05 23:59:59 +0100,2020-11-05 23:59:59 +0100,2452
"Connect","28",,"BasalEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-11-04 23:59:59 +0100,2020-11-04 23:59:59 +0100,2452
"Connect","28",,"BasalEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-11-03 23:59:59 +0100,2020-11-03 23:59:59 +0100,2452
"Connect","28",,"BasalEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-11-02 23:59:59 +0100,2020-11-02 23:59:59 +0100,2452
"Connect","28",,"BasalEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-11-01 23:59:59 +0100,2020-11-01 23:59:59 +0100,2452
"Connect","28",,"BasalEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-10-31 23:59:59 +0100,2020-10-31 23:59:59 +0100,2452
"Connect","28",,"BasalEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-10-30 23:59:59 +0100,2020-10-30 23:59:59 +0100,2452
"Connect","28",,"BasalEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-10-29 23:59:59 +0100,2020-10-29 23:59:59 +0100,2452
"Connect","28",,"BasalEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-10-28 23:59:59 +0100,2020-10-28 23:59:59 +0100,2452
"Connect","28",,"BasalEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-10-27 23:59:59 +0100,2020-10-27 23:59:59 +0100,2452
"Connect","28",,"BasalEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-10-26 23:59:59 +0100,2020-10-26 23:59:59 +0100,2452
"Connect","28",,"BasalEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-10-25 23:59:59 +0100,2020-10-25 23:59:59 +0100,2554
"Connect","28",,"BasalEnergyBurned","kcal",2020-11-23 08:42:42 +0100,2020-10-24 21:59:59 +0100,2020-10-24 21:59:59 +0100,2452
"Connect","5",,"BasalEnergyBurned","kcal",2020-11-28 22:35:44 +0100,2020-11-10 23:59:59 +0100,2020-11-10 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2020-11-28 22:35:44 +0100,2020-11-09 23:59:59 +0100,2020-11-09 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2020-12-11 09:24:14 +0100,2020-11-13 23:59:59 +0100,2020-11-13 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2020-12-11 09:24:14 +0100,2020-11-12 23:59:59 +0100,2020-11-12 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2020-12-11 09:24:14 +0100,2020-11-11 23:59:59 +0100,2020-11-11 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2020-12-14 11:38:26 +0100,2020-11-16 23:59:59 +0100,2020-11-16 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2020-12-14 11:38:26 +0100,2020-11-15 23:59:59 +0100,2020-11-15 23:59:59 +0100,1757
"Connect","5",,"BasalEnergyBurned","kcal",2020-12-14 11:38:26 +0100,2020-11-14 23:59:59 +0100,2020-11-14 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2020-12-17 09:05:10 +0100,2020-11-22 23:59:59 +0100,2020-11-22 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2020-12-17 09:05:10 +0100,2020-11-21 23:59:59 +0100,2020-11-21 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2020-12-17 09:05:10 +0100,2020-11-20 23:59:59 +0100,2020-11-20 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2020-12-17 09:05:10 +0100,2020-11-19 23:59:59 +0100,2020-11-19 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2020-12-17 09:05:10 +0100,2020-11-18 23:59:59 +0100,2020-11-18 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2020-12-17 09:05:10 +0100,2020-11-17 23:59:59 +0100,2020-11-17 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2020-12-23 19:53:09 +0100,2020-11-28 23:59:59 +0100,2020-11-28 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2020-12-23 19:53:09 +0100,2020-11-27 23:59:59 +0100,2020-11-27 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2020-12-23 19:53:09 +0100,2020-11-26 23:59:59 +0100,2020-11-26 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2020-12-23 19:53:09 +0100,2020-11-25 23:59:59 +0100,2020-11-25 23:59:59 +0100,2068
"Connect","5",,"BasalEnergyBurned","kcal",2020-12-23 19:53:09 +0100,2020-11-24 23:59:59 +0100,2020-11-24 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2020-12-23 19:53:09 +0100,2020-11-23 23:59:59 +0100,2020-11-23 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2020-12-29 17:45:45 +0100,2020-12-03 23:59:59 +0100,2020-12-03 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2020-12-29 17:45:45 +0100,2020-12-02 23:59:59 +0100,2020-12-02 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2020-12-29 17:45:45 +0100,2020-12-01 23:59:59 +0100,2020-12-01 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2020-12-29 17:45:45 +0100,2020-11-30 23:59:59 +0100,2020-11-30 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2020-12-29 17:45:45 +0100,2020-11-29 23:59:59 +0100,2020-11-29 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2021-01-03 00:38:17 +0100,2020-12-08 23:59:59 +0100,2020-12-08 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2021-01-03 00:38:17 +0100,2020-12-07 23:59:59 +0100,2020-12-07 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2021-01-03 00:38:17 +0100,2020-12-06 23:59:59 +0100,2020-12-06 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2021-01-03 00:38:17 +0100,2020-12-05 23:59:59 +0100,2020-12-05 23:59:59 +0100,2488
"Connect","5",,"BasalEnergyBurned","kcal",2021-01-03 00:38:17 +0100,2020-12-04 23:59:59 +0100,2020-12-04 23:59:59 +0100,2488
