sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"VeSync","11",,"BodyFatPercentage","%",2021-01-08 11:22:23 +0100,2021-01-08 11:22:23 +0100,2021-01-08 11:22:23 +0100,0.255
"VeSync","11",,"BodyFatPercentage","%",2021-01-09 09:39:38 +0100,2021-01-09 09:39:38 +0100,2021-01-09 09:39:38 +0100,0.253
"VeSync","4",,"BodyFatPercentage","%",2021-01-10 09:14:27 +0100,2021-01-10 09:14:27 +0100,2021-01-10 09:14:27 +0100,0.25
"VeSync","4",,"BodyFatPercentage","%",2021-01-11 09:03:40 +0100,2021-01-11 09:03:40 +0100,2021-01-11 09:03:40 +0100,0.253
"VeSync","4",,"BodyFatPercentage","%",2021-01-12 17:14:09 +0100,2021-01-12 17:14:08 +0100,2021-01-12 17:14:08 +0100,0.252
"VeSync","4",,"BodyFatPercentage","%",2021-01-12 18:12:21 +0100,2021-01-12 18:12:21 +0100,2021-01-12 18:12:21 +0100,0.254
"VeSync","4",,"BodyFatPercentage","%",2021-01-13 09:06:53 +0100,2021-01-13 09:06:45 +0100,2021-01-13 09:06:45 +0100,0.254
"VeSync","4",,"BodyFatPercentage","%",2021-01-14 09:16:41 +0100,2021-01-14 09:16:41 +0100,2021-01-14 09:16:41 +0100,0.251
"VeSync","4",,"BodyFatPercentage","%",2021-01-17 13:44:00 +0100,2021-01-17 13:44:00 +0100,2021-01-17 13:44:00 +0100,0.248
"VeSync","8",,"BodyFatPercentage","%",2021-01-19 18:57:45 +0100,2021-01-19 18:57:45 +0100,2021-01-19 18:57:45 +0100,0.245
"VeSync","8",,"BodyFatPercentage","%",2021-01-24 16:14:54 +0100,2021-01-24 16:14:54 +0100,2021-01-24 16:14:54 +0100,0.246
"VeSync","6",,"BodyFatPercentage","%",2021-01-30 14:00:30 +0100,2021-01-30 14:00:30 +0100,2021-01-30 14:00:30 +0100,0.242
"VeSync","13",,"BodyFatPercentage","%",2021-02-03 14:16:08 +0100,2021-02-03 14:16:08 +0100,2021-02-03 14:16:08 +0100,0.242
