sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"VeSync","11",,"BodyMassIndex","count",2021-01-08 11:22:23 +0100,2021-01-08 11:22:23 +0100,2021-01-08 11:22:23 +0100,29.3
"VeSync","11",,"BodyMassIndex","count",2021-01-09 09:39:38 +0100,2021-01-09 09:39:38 +0100,2021-01-09 09:39:38 +0100,29.1
"VeSync","4",,"BodyMassIndex","count",2021-01-10 09:14:27 +0100,2021-01-10 09:14:27 +0100,2021-01-10 09:14:27 +0100,29
"VeSync","4",,"BodyMassIndex","count",2021-01-11 09:03:40 +0100,2021-01-11 09:03:40 +0100,2021-01-11 09:03:40 +0100,29.2
"VeSync","4",,"BodyMassIndex","count",2021-01-12 17:14:09 +0100,2021-01-12 17:14:08 +0100,2021-01-12 17:14:08 +0100,29.1
"VeSync","4",,"BodyMassIndex","count",2021-01-12 18:12:21 +0100,2021-01-12 18:12:21 +0100,2021-01-12 18:12:21 +0100,29.2
"VeSync","4",,"BodyMassIndex","count",2021-01-13 09:06:53 +0100,2021-01-13 09:06:45 +0100,2021-01-13 09:06:45 +0100,29.3
"VeSync","4",,"BodyMassIndex","count",2021-01-14 09:16:41 +0100,2021-01-14 09:16:41 +0100,2021-01-14 09:16:41 +0100,29
"VeSync","4",,"BodyMassIndex","count",2021-01-17 13:44:00 +0100,2021-01-17 13:44:00 +0100,2021-01-17 13:44:00 +0100,28.8
"VeSync","8",,"BodyMassIndex","count",2021-01-19 18:57:45 +0100,2021-01-19 18:57:45 +0100,2021-01-19 18:57:45 +0100,28.6
"VeSync","8",,"BodyMassIndex","count",2021-01-24 16:14:54 +0100,2021-01-24 16:14:54 +0100,2021-01-24 16:14:54 +0100,28.7
"VeSync","6",,"BodyMassIndex","count",2021-01-30 14:00:30 +0100,2021-01-30 14:00:30 +0100,2021-01-30 14:00:30 +0100,28.4
"VeSync","13",,"BodyMassIndex","count",2021-02-03 14:16:08 +0100,2021-02-03 14:16:08 +0100,2021-02-03 14:16:08 +0100,28.5
