sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"Clock","50","<<HKDevice: 0x283754280>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone10,1, software:11.2.2>","SleepAnalysis",,2018-01-22 06:48:51 +0100,2018-01-21 23:29:36 +0100,2018-01-22 06:30:24 +0100,HKCategoryValueSleepAnalysisInBed
"Clock","50","<<HKDevice: 0x283754280>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone10,1, software:11.2.2>","SleepAnalysis",,2018-01-22 06:48:51 +0100,2018-01-22 06:32:56 +0100,2018-01-22 06:48:51 +0100,HKCategoryValueSleepAnalysisInBed
"Clock","50","<<HKDevice: 0x283754280>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone10,1, software:11.2.2>","SleepAnalysis",,2018-01-23 06:30:42 +0100,2018-01-22 23:24:08 +0100,2018-01-23 06:30:36 +0100,HKCategoryValueSleepAnalysisInBed
"Clock","50","<<HKDevice: 0x283754280>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone10,1, software:11.2.2>","SleepAnalysis",,2018-01-24 06:30:34 +0100,2018-01-23 23:08:12 +0100,2018-01-24 06:30:28 +0100,HKCategoryValueSleepAnalysisInBed
"Clock","50","<<HKDevice: 0x283754280>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone10,1, software:11.2.2>","SleepAnalysis",,2018-01-25 07:00:30 +0100,2018-01-25 02:45:00 +0100,2018-01-25 07:00:24 +0100,HKCategoryValueSleepAnalysisInBed
"Clock","50","<<HKDevice: 0x283754280>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone10,1, software:11.2.2>","SleepAnalysis",,2018-01-26 07:40:04 +0100,2018-01-25 23:40:00 +0100,2018-01-26 07:38:36 +0100,HKCategoryValueSleepAnalysisInBed
"Clock","50","<<HKDevice: 0x283754280>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone10,1, software:11.2.2>","SleepAnalysis",,2018-01-26 07:40:04 +0100,2018-01-26 07:39:40 +0100,2018-01-26 07:40:04 +0100,HKCategoryValueSleepAnalysisInBed
"Clock","50","<<HKDevice: 0x283754280>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone10,1, software:11.2.2>","SleepAnalysis",,2018-01-27 07:40:44 +0100,2018-01-26 23:40:00 +0100,2018-01-27 07:40:44 +0100,HKCategoryValueSleepAnalysisInBed
"Clock","50","<<HKDevice: 0x283754a00>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone10,1, software:11.4>","SleepAnalysis",,2018-06-25 06:00:37 +0100,2018-06-24 23:38:36 +0100,2018-06-25 06:00:28 +0100,HKCategoryValueSleepAnalysisInBed
"Clock",,"<<HKDevice: 0x2837544b0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone10,1, software:12.0.1>","SleepAnalysis",,2018-10-11 04:45:10 +0100,2018-10-10 21:00:00 +0100,2018-10-11 04:45:10 +0100,HKCategoryValueSleepAnalysisInBed
"Clock",,"<<HKDevice: 0x2837544b0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone10,1, software:12.0.1>","SleepAnalysis",,2018-10-12 04:45:08 +0100,2018-10-11 21:00:00 +0100,2018-10-12 04:45:08 +0100,HKCategoryValueSleepAnalysisInBed
"Clock",,"<<HKDevice: 0x283754960>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone10,1, software:13.1>","SleepAnalysis",,2019-10-06 06:35:19 +0100,2019-10-05 23:35:05 +0100,2019-10-06 06:35:13 +0100,HKCategoryValueSleepAnalysisInBed
"Clock",,"<<HKDevice: 0x283754960>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone10,1, software:13.1>","SleepAnalysis",,2019-10-09 06:35:18 +0100,2019-10-09 05:00:18 +0100,2019-10-09 06:35:12 +0100,HKCategoryValueSleepAnalysisInBed
"Clock",,"<<HKDevice: 0x283754960>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone10,1, software:13.1>","SleepAnalysis",,2019-10-15 06:35:03 +0100,2019-10-14 23:35:00 +0100,2019-10-15 06:35:02 +0100,HKCategoryValueSleepAnalysisInBed
"Clock",,"<<HKDevice: 0x283754960>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone10,1, software:13.1>","SleepAnalysis",,2019-10-16 06:35:18 +0100,2019-10-15 23:35:00 +0100,2019-10-16 06:35:17 +0100,HKCategoryValueSleepAnalysisInBed
"Clock",,"<<HKDevice: 0x283754960>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone10,1, software:13.1>","SleepAnalysis",,2019-10-17 06:35:08 +0100,2019-10-17 04:55:11 +0100,2019-10-17 06:35:02 +0100,HKCategoryValueSleepAnalysisInBed
