,indicator,offset
2020-11-22 07:00:00,1,-120
2020-11-22 07:01:00,1,-119
2020-11-22 07:02:00,1,-118
2020-11-22 07:03:00,1,-117
2020-11-22 07:04:00,1,-116
2020-11-22 07:05:00,1,-115
2020-11-22 07:06:00,1,-114
2020-11-22 07:07:00,1,-113
2020-11-22 07:08:00,1,-112
2020-11-22 07:09:00,1,-111
2020-11-22 07:10:00,1,-110
2020-11-22 07:11:00,1,-109
2020-11-22 07:12:00,1,-108
2020-11-22 07:13:00,1,-107
2020-11-22 07:14:00,1,-106
2020-11-22 07:15:00,1,-105
2020-11-22 07:16:00,1,-104
2020-11-22 07:17:00,1,-103
2020-11-22 07:18:00,1,-102
2020-11-22 07:19:00,1,-101
2020-11-22 07:20:00,1,-100
2020-11-22 07:21:00,1,-99
2020-11-22 07:22:00,1,-98
2020-11-22 07:23:00,1,-97
2020-11-22 07:24:00,1,-96
2020-11-22 07:25:00,1,-95
2020-11-22 07:26:00,1,-94
2020-11-22 07:27:00,1,-93
2020-11-22 07:28:00,1,-92
2020-11-22 07:29:00,1,-91
2020-11-22 07:30:00,1,-90
2020-11-22 07:31:00,1,-89
2020-11-22 07:32:00,1,-88
2020-11-22 07:33:00,1,-87
2020-11-22 07:34:00,1,-86
2020-11-22 07:35:00,1,-85
2020-11-22 07:36:00,1,-84
2020-11-22 07:37:00,1,-83
2020-11-22 07:38:00,1,-82
2020-11-22 07:39:00,1,-81
2020-11-22 07:40:00,1,-80
2020-11-22 07:41:00,1,-79
2020-11-22 07:42:00,1,-78
2020-11-22 07:43:00,1,-77
2020-11-22 07:44:00,1,-76
2020-11-22 07:45:00,1,-75
2020-11-22 07:46:00,1,-74
2020-11-22 07:47:00,1,-73
2020-11-22 07:48:00,1,-72
2020-11-22 07:49:00,1,-71
2020-11-22 07:50:00,1,-70
2020-11-22 07:51:00,1,-69
2020-11-22 07:52:00,1,-68
2020-11-22 07:53:00,1,-67
2020-11-22 07:54:00,1,-66
2020-11-22 07:55:00,1,-65
2020-11-22 07:56:00,1,-64
2020-11-22 07:57:00,1,-63
2020-11-22 07:58:00,1,-62
2020-11-22 07:59:00,1,-61
2020-11-22 08:00:00,1,-60
